CALENDAR_YEAR,MUNICIPAL_CODE,ENTITY_NAME,SUB_GOVT_TYPE,COUNTY,FISCAL_YEAR_END,DEBT_TYPE_DESC,BEGINNING_YEAR_BALANCE_SUM,PRIOR_YEAR_ADJUSTMENT_SUM,DEBT_ISSUED_IN_CURRENT_YEAR,DEBT_PAID_CURRENT_YEAR,ACCRETED_INTEREST_SUM,ENDING_YEAR_BALANCE_SUM,SNAPSHOT_DATE
2002,010100000000,County of Albany,County,Albany,12/31,Bond,127343236,0,30325000,37611560,,120056676,30-APR-20
2002,010100000000,County of Albany,County,Albany,12/31,Bond Anticipation Note,86769.65,0,1228504.14,65000,,1250273.79,30-APR-20
2002,010201000000,City of Albany,City,Albany,12/31,Bond,79862482,804719,14726106,18157986,,77235321,30-APR-20
2002,010201000000,City of Albany,City,Albany,12/31,Bond Anticipation Note,12121820,0,19225211,12121820,,19225211,30-APR-20
2002,010201000000,City of Albany,City,Albany,12/31,Revenue Anticipation Note,,,10000000,,,10000000,30-APR-20
2002,010201000000,City of Albany,City,Albany,12/31,State or Authority Loan,510000,0,,255000,,255000,30-APR-20
2002,010209000000,City of Cohoes,City,Albany,12/31,Bond,11059028,0,3128345,1092501,,13094872,30-APR-20
2002,010209000000,City of Cohoes,City,Albany,12/31,Bond Anticipation Note,3128345,,1000000,3128345,,1000000,30-APR-20
2002,010209000000,City of Cohoes,City,Albany,12/31,Installment Purchase Contract,142212,0,48698,104366,,86544,30-APR-20
2002,010260000000,City of Watervliet,City,Albany,12/31,Bond,5896661,,0,965000,,4931661,30-APR-20
2002,010260000000,City of Watervliet,City,Albany,12/31,Bond Anticipation Note,1044170,,903000,0,,1947170,30-APR-20
2002,010260000000,City of Watervliet,City,Albany,12/31,Revenue Anticipation Note,0,,1000000,0,,1000000,30-APR-20
2002,010307100000,Town of Bethlehem,Town,Albany,12/31,Bond,17401497,0,,1120497,,16281000,30-APR-20
2002,010307100000,Town of Bethlehem,Town,Albany,12/31,Bond Anticipation Note,687000,0,,148000,,539000,30-APR-20
2002,010307100000,Town of Bethlehem,Town,Albany,12/31,Installment Purchase Contract,0,,175732,35226,,140506,30-APR-20
2002,010307100000,Town of Bethlehem,Town,Albany,12/31,Tax Anticipation Note,1000000,0,1500000,1000000,,1500000,30-APR-20
