CALENDAR_YEAR,MUNICIPAL_CODE,ENTITY_NAME,SUB_GOVT_TYPE,COUNTY,FISCAL_YEAR_END,DEBT_TYPE_DESC,BEGINNING_YEAR_BALANCE_SUM,PRIOR_YEAR_ADJUSTMENT_SUM,DEBT_ISSUED_IN_CURRENT_YEAR,DEBT_PAID_CURRENT_YEAR,ACCRETED_INTEREST_SUM,ENDING_YEAR_BALANCE_SUM,SNAPSHOT_DATE
2016,010100000000,County of Albany,County,Albany,12/31,Bond,201514853,0,25330000,47050000,,179794853,30-APR-20
2016,010100000000,County of Albany,County,Albany,12/31,Bond Anticipation Note,56961971,0,48502653,3441535,,102023089,30-APR-20
2016,010201000000,City of Albany,City,Albany,12/31,Bond,72265000,0,23684579,23225000,,72724579,30-APR-20
2016,010201000000,City of Albany,City,Albany,12/31,Bond Anticipation Note,43425299,0,15128640,19707127,,38846812,30-APR-20
2016,010201000000,City of Albany,City,Albany,12/31,Revenue Anticipation Note,6000000,0,,6000000,,0,30-APR-20
2016,010209000000,City of Cohoes,City,Albany,12/31,Bond,11871351,0,,1360099,,10511252,30-APR-20
2016,010209000000,City of Cohoes,City,Albany,12/31,Bond Anticipation Note,1000000,0,,20000,,980000,30-APR-20
2016,010260000000,City of Watervliet,City,Albany,12/31,Bond,5939000,0,2508862,675000,,7772862,30-APR-20
2016,010260000000,City of Watervliet,City,Albany,12/31,Bond Anticipation Note,2695862,0,,2695862,,0,30-APR-20
2016,010260000000,City of Watervliet,City,Albany,12/31,Revenue Anticipation Note,0,0,1000000,0,,1000000,30-APR-20
2016,010306800000,Town of Berne,Town,Albany,12/31,Bond,1097103,0,,31985.97,,1065117.03,30-APR-20
2016,010306800000,Town of Berne,Town,Albany,12/31,Bond Anticipation Note,0,0,285000,0,,285000,30-APR-20
2016,010307100000,Town of Bethlehem,Town,Albany,12/31,Bond,18877058,0,9055000,7647058,,20285000,30-APR-20
2016,010307100000,Town of Bethlehem,Town,Albany,12/31,Bond Anticipation Note,2303175,0,1685000,2303175,,1685000,30-APR-20
2016,010318000000,Town of Coeymans,Town,Albany,12/31,Bond,880256.32,0,103097,70803.68,,912549.64,30-APR-20
2016,010318000000,Town of Coeymans,Town,Albany,12/31,Bond Anticipation Note,873500,0,429081,873500,,429081,30-APR-20
2016,010318700000,Town of Colonie,Town,Albany,12/31,Bond,74545200,0,22532000,6619800,,90457400,30-APR-20
2016,010318700000,Town of Colonie,Town,Albany,12/31,Bond Anticipation Note,20696000,0,6865000,19093000,,8468000,30-APR-20
2016,010318700000,Town of Colonie,Town,Albany,12/31,Installment Purchase Contract,355878,0,193477,209253,,340102,30-APR-20
