CALENDAR_YEAR,MUNICIPAL_CODE,ENTITY_NAME,SUB_GOVT_TYPE,COUNTY,FISCAL_YEAR_END,DEBT_TYPE_DESC,BEGINNING_YEAR_BALANCE_SUM,PRIOR_YEAR_ADJUSTMENT_SUM,DEBT_ISSUED_IN_CURRENT_YEAR,DEBT_PAID_CURRENT_YEAR,ACCRETED_INTEREST_SUM,ENDING_YEAR_BALANCE_SUM,SNAPSHOT_DATE
2006,010100000000,County of Albany,County,Albany,12/31,Bond,188129298,-45000,57575165,13670000,,231989463,30-APR-20
2006,010100000000,County of Albany,County,Albany,12/31,Bond Anticipation Note,3502148.41,0,,3502148.41,,0,30-APR-20
2006,010201000000,City of Albany,City,Albany,12/31,Bond,98297395,0,15500000,9389546,,104407849,30-APR-20
2006,010201000000,City of Albany,City,Albany,12/31,Bond Anticipation Note,9000000,0,2250000,9000000,,2250000,30-APR-20
2006,010201000000,City of Albany,City,Albany,12/31,Installment Purchase Contract,4100000,0,4510000,705293,,7904707,30-APR-20
2006,010201000000,City of Albany,City,Albany,12/31,Revenue Anticipation Note,10000000,0,10000000,10000000,,10000000,30-APR-20
2006,010209000000,City of Cohoes,City,Albany,12/31,Bond,15161700,-915063,,1062600,,13184037,30-APR-20
2006,010209000000,City of Cohoes,City,Albany,12/31,Installment Purchase Contract,547769,12911,,65678,,495002,30-APR-20
2006,010260000000,City of Watervliet,City,Albany,12/31,Bond,5934000,0,2927373,715000,,8146373,30-APR-20
2006,010260000000,City of Watervliet,City,Albany,12/31,Bond Anticipation Note,791000,0,1580313,2371313,,0,30-APR-20
2006,010260000000,City of Watervliet,City,Albany,12/31,Revenue Anticipation Note,1318450,0,3270846,3023450,,1565846,30-APR-20
2006,010306800000,Town of Berne,Town,Albany,12/31,Bond Anticipation Note,356000,0,,176000,,180000,30-APR-20
2006,010307100000,Town of Bethlehem,Town,Albany,12/31,Bond,13425000,0,,940000,,12485000,30-APR-20
2006,010307100000,Town of Bethlehem,Town,Albany,12/31,Bond Anticipation Note,2998000,0,,137250,,2860750,30-APR-20
2006,010307100000,Town of Bethlehem,Town,Albany,12/31,Installment Purchase Contract,513653,0,,219646,,294007,30-APR-20
2006,010318000000,Town of Coeymans,Town,Albany,12/31,Bond,18000,0,,9000,,9000,30-APR-20
2006,010318000000,Town of Coeymans,Town,Albany,12/31,Bond Anticipation Note,801000,0,,47000,,754000,30-APR-20
