CALENDAR_YEAR,MUNICIPAL_CODE,ENTITY_NAME,SUB_GOVT_TYPE,COUNTY,FISCAL_YEAR_END,DEBT_TYPE_DESC,BEGINNING_YEAR_BALANCE_SUM,PRIOR_YEAR_ADJUSTMENT_SUM,DEBT_ISSUED_IN_CURRENT_YEAR,DEBT_PAID_CURRENT_YEAR,ACCRETED_INTEREST_SUM,ENDING_YEAR_BALANCE_SUM,SNAPSHOT_DATE
2010,010100000000,County of Albany,County,Albany,12/31,Bond,186320393,-23300,57540000,31470000,,212367093,30-APR-20
2010,010100000000,County of Albany,County,Albany,12/31,Bond Anticipation Note,60767500,0,27997794,41354660,,47410634,30-APR-20
2010,010100000000,County of Albany,County,Albany,12/31,Tax Anticipation Note,0,0,15028304,,,15028304,30-APR-20
2010,010201000000,City of Albany,City,Albany,12/31,Bond,95777420.63,0,,10317420,,85460000.63,30-APR-20
2010,010201000000,City of Albany,City,Albany,12/31,Bond Anticipation Note,43982049,0,20578000,670000,,63890049,30-APR-20
2010,010201000000,City of Albany,City,Albany,12/31,Installment Purchase Contract,3768566,0,,919666,,2848900,30-APR-20
2010,010201000000,City of Albany,City,Albany,12/31,Revenue Anticipation Note,12500000,0,,12500000,,0,30-APR-20
2010,010209000000,City of Cohoes,City,Albany,12/31,Bond,11443000,-10000,,986000,,10447000,30-APR-20
2010,010209000000,City of Cohoes,City,Albany,12/31,Bond Anticipation Note,3500000,0,,3500000,,0,30-APR-20
2010,010209000000,City of Cohoes,City,Albany,12/31,Installment Purchase Contract,284399.33,0,,71016.8,,213382.53,30-APR-20
2010,010260000000,City of Watervliet,City,Albany,12/31,Bond,5939000,0,,565000,,5374000,30-APR-20
2010,010260000000,City of Watervliet,City,Albany,12/31,Bond Anticipation Note,1894963,0,,69500,,1825463,30-APR-20
2010,010306800000,Town of Berne,Town,Albany,12/31,Bond Anticipation Note,501817.41,13496.15,164000,88277.46,,591036.1,30-APR-20
2010,010307100000,Town of Bethlehem,Town,Albany,12/31,Bond,19808000,0,,1063000,,18745000,30-APR-20
2010,010307100000,Town of Bethlehem,Town,Albany,12/31,Bond Anticipation Note,143000,0,1405000,43000,,1505000,30-APR-20
2010,010318000000,Town of Coeymans,Town,Albany,12/31,Installment Purchase Contract,5746.65,0,,1768.2,,3978.45,30-APR-20
2010,010318700000,Town of Colonie,Town,Albany,12/31,Bond,81585800,0,3800000,10475800,,74910000,30-APR-20
2010,010318700000,Town of Colonie,Town,Albany,12/31,Bond Anticipation Note,12704000,0,12300000,319000,,24685000,30-APR-20
2010,010318700000,Town of Colonie,Town,Albany,12/31,Installment Purchase Contract,1074582.22,0,314139,528335.22,,860386,30-APR-20
2010,010318700000,Town of Colonie,Town,Albany,12/31,Revenue Anticipation Note,4500000,0,4500000,4500000,,4500000,30-APR-20
2010,010335500000,Town of Guilderland,Town,Albany,12/31,Bond,25440000,0,,1923000,,23517000,30-APR-20
2010,010335500000,Town of Guilderland,Town,Albany,12/31,Bond Anticipation Note,5400000,0,4400000,5400000,,4400000,30-APR-20
2010,010344300000,Town of Knox,Town,Albany,12/31,Bond Anticipation Note,1218981,1000,,80000,,1139981,30-APR-20
2010,010358100000,Town of New Scotland,Town,Albany,12/31,Bond,1047963,0,,74500,,973463,30-APR-20
2010,010358100000,Town of New Scotland,Town,Albany,12/31,Bond Anticipation Note,930200,0,182000,48800,,1063400,30-APR-20
2010,010358100000,Town of New Scotland,Town,Albany,12/31,Installment Purchase Contract,75680.74,0,,36918.99,,38761.75,30-APR-20
2010,010358100000,Town of New Scotland,Town,Albany,12/31,State or Authority Loan,54783,0,,4494,,50289,30-APR-20
2010,010370600000,Town of Rensselaerville,Town,Albany,12/31,Bond,839042,0,,28801,,810241,30-APR-20
2010,010370600000,Town of Rensselaerville,Town,Albany,12/31,Bond Anticipation Note,16800,0,,16800,,0,30-APR-20
2010,010370600000,Town of Rensselaerville,Town,Albany,12/31,Revenue Anticipation Note,7586.25,0,,7586.25,,0,30-APR-20
2010,010389000000,Town of Westerlo,Town,Albany,12/31,Bond,1124500,0,,89500,,1035000,30-APR-20
2010,010389000000,Town of Westerlo,Town,Albany,12/31,Bond Anticipation Note,0,0,145000,0,,145000,30-APR-20
2010,010418004140,Village of Ravena,Village,Albany,05/31,Bond,1015000,0,,150000,,865000,30-APR-20
2010,010418703040,Village of Menands,Village,Albany,05/31,Bond Anticipation Note,0,0,325000,0,,325000,30-APR-20
2010,010434502040,Village of Green Island,Village,Albany,05/31,Bond,1000000,0,,185000,,815000,30-APR-20
2010,010434502040,Village of Green Island,Village,Albany,05/31,Revenue Anticipation Note,170000,0,,100000,,70000,30-APR-20
