CALENDAR_YEAR,MUNICIPAL_CODE,ENTITY_NAME,SUB_GOVT_TYPE,COUNTY,FISCAL_YEAR_END,DEBT_TYPE_DESC,BEGINNING_YEAR_BALANCE_SUM,PRIOR_YEAR_ADJUSTMENT_SUM,DEBT_ISSUED_IN_CURRENT_YEAR,DEBT_PAID_CURRENT_YEAR,ACCRETED_INTEREST_SUM,ENDING_YEAR_BALANCE_SUM,SNAPSHOT_DATE
2014,010100000000,County of Albany,County,Albany,12/31,Bond,235872454,0,34365000,52252230,,217985224,30-APR-20
2014,010100000000,County of Albany,County,Albany,12/31,Bond Anticipation Note,0,0,35038384.49,,,35038384.49,30-APR-20
2014,010100000000,County of Albany,County,Albany,12/31,Tax Anticipation Note,10900000,0,9800000,10900000,,9800000,30-APR-20
2014,010201000000,City of Albany,City,Albany,12/31,Bond,102530000,0,,15025000,,87505000,30-APR-20
2014,010201000000,City of Albany,City,Albany,12/31,Bond Anticipation Note,20686085,0,10077700,1625000,,29138785,30-APR-20
2014,010201000000,City of Albany,City,Albany,12/31,Installment Purchase Contract,859183,0,,491174,,368009,30-APR-20
2014,010209000000,City of Cohoes,City,Albany,12/31,Bond,10778419,-1671.2,2000000,1405935.8,,11370812,30-APR-20
2014,010209000000,City of Cohoes,City,Albany,12/31,Bond Anticipation Note,0,0,1000000,0,,1000000,30-APR-20
2014,010209000000,City of Cohoes,City,Albany,12/31,Installment Purchase Contract,14242.82,-14242.82,,0,,0,30-APR-20
2014,010260000000,City of Watervliet,City,Albany,12/31,Bond,7234000,0,,640000,,6594000,30-APR-20
2014,010260000000,City of Watervliet,City,Albany,12/31,Bond Anticipation Note,495000,0,850000,165000,,1180000,30-APR-20
2014,010306800000,Town of Berne,Town,Albany,12/31,Bond,0,0,1159476,30920,,1128556,30-APR-20
2014,010306800000,Town of Berne,Town,Albany,12/31,Bond Anticipation Note,2064672,0,224355,2016092,,272935,30-APR-20
2014,010307100000,Town of Bethlehem,Town,Albany,12/31,Bond,16000000,0,,1995000,,14005000,30-APR-20
2014,010307100000,Town of Bethlehem,Town,Albany,12/31,Bond Anticipation Note,5029318,-10803,1779017,404336,,6393196,30-APR-20
2014,010318000000,Town of Coeymans,Town,Albany,12/31,Bond,414907.55,208.51,,36222.14,,378893.92,30-APR-20
2014,010318000000,Town of Coeymans,Town,Albany,12/31,Bond Anticipation Note,924000,0,620000,85525,,1458475,30-APR-20
2014,010318000000,Town of Coeymans,Town,Albany,12/31,Tax Anticipation Note,0,0,310000,,,310000,30-APR-20
2014,010318700000,Town of Colonie,Town,Albany,12/31,Bond,78560000,0,29806280,26730000,,81636280,30-APR-20
2014,010318700000,Town of Colonie,Town,Albany,12/31,Bond Anticipation Note,15479280,0,9962000,14300280,,11141000,30-APR-20
2014,010318700000,Town of Colonie,Town,Albany,12/31,Installment Purchase Contract,582219,0,242272,273372,,551119,30-APR-20
2014,010318700000,Town of Colonie,Town,Albany,12/31,Revenue Anticipation Note,3200000,0,3200000,3200000,,3200000,30-APR-20
2014,010335500000,Town of Guilderland,Town,Albany,12/31,Bond,21611000,0,,2003000,,19608000,30-APR-20
2014,010344300000,Town of Knox,Town,Albany,12/31,Bond Anticipation Note,719981,0,,80000,,639981,30-APR-20
2014,010358100000,Town of New Scotland,Town,Albany,12/31,Bond,779863,36235,,71476,,744622,30-APR-20
2014,010358100000,Town of New Scotland,Town,Albany,12/31,Bond Anticipation Note,1401174,0,641548,105432,,1937290,30-APR-20
2014,010358100000,Town of New Scotland,Town,Albany,12/31,State or Authority Loan,36235,-36235,,,,0,30-APR-20
2014,010370600000,Town of Rensselaerville,Town,Albany,12/31,Bond,827091,0,,42216,,784875,30-APR-20
