CALENDAR_YEAR,MUNICIPAL_CODE,ENTITY_NAME,SUB_GOVT_TYPE,COUNTY,FISCAL_YEAR_END,DEBT_TYPE_DESC,BEGINNING_YEAR_BALANCE_SUM,PRIOR_YEAR_ADJUSTMENT_SUM,DEBT_ISSUED_IN_CURRENT_YEAR,DEBT_PAID_CURRENT_YEAR,ACCRETED_INTEREST_SUM,ENDING_YEAR_BALANCE_SUM,SNAPSHOT_DATE
2017,010100000000,County of Albany,County,Albany,12/31,Bond,179794853,0,18235000,36720000,,161309853,30-APR-20
2017,010100000000,County of Albany,County,Albany,12/31,Bond Anticipation Note,102023089,0,36558345,4301984,,134279450,30-APR-20
2017,010201000000,City of Albany,City,Albany,12/31,Bond,72724579,0,,15094579,,57630000,30-APR-20
2017,010201000000,City of Albany,City,Albany,12/31,Bond Anticipation Note,38846812,0,9008305,3258700,,44596417,30-APR-20
2017,010209000000,City of Cohoes,City,Albany,12/31,Bond,10511252,0,,1268303,,9242949,30-APR-20
2017,010209000000,City of Cohoes,City,Albany,12/31,Bond Anticipation Note,980000,0,1200000,20000,,2160000,30-APR-20
2017,010260000000,City of Watervliet,City,Albany,12/31,Bond,7772862,0,,758862,,7014000,30-APR-20
2017,010260000000,City of Watervliet,City,Albany,12/31,Bond Anticipation Note,0,0,920000,,,920000,30-APR-20
2017,010260000000,City of Watervliet,City,Albany,12/31,Revenue Anticipation Note,1000000,0,2500000,1000000,,2500000,30-APR-20
2017,010306800000,Town of Berne,Town,Albany,12/31,Bond,1065117.03,0,,32519,,1032598.03,30-APR-20
2017,010306800000,Town of Berne,Town,Albany,12/31,Bond Anticipation Note,285000,0,,285000,,0,30-APR-20
2017,010307100000,Town of Bethlehem,Town,Albany,12/31,Bond,20285000,0,9992241,1465000,,28812241,30-APR-20
2017,010307100000,Town of Bethlehem,Town,Albany,12/31,Bond Anticipation Note,1685000,0,,1685000,,0,30-APR-20
2017,010318000000,Town of Coeymans,Town,Albany,12/31,Bond,912549.64,0,,81038.09,,831511.55,30-APR-20
2017,010318000000,Town of Coeymans,Town,Albany,12/31,Bond Anticipation Note,429081,0,1148089.61,10000,,1567170.61,30-APR-20
2017,010318700000,Town of Colonie,Town,Albany,12/31,Bond,90457400,0,18969999,26262400,,83164999,30-APR-20
2017,010318700000,Town of Colonie,Town,Albany,12/31,Bond Anticipation Note,8468000,0,12191000,893800,,19765200,30-APR-20
2017,010318700000,Town of Colonie,Town,Albany,12/31,Installment Purchase Contract,340102,0,426563,243346,,523319,30-APR-20
2017,010318700000,Town of Colonie,Town,Albany,12/31,Revenue Anticipation Note,3200000,0,3200000,3200000,,3200000,30-APR-20
2017,010335500000,Town of Guilderland,Town,Albany,12/31,Bond,16255000,0,,1305000,,14950000,30-APR-20
2017,010335500000,Town of Guilderland,Town,Albany,12/31,Installment Purchase Contract,182459.58,0,,146465.63,,35993.95,30-APR-20
2017,010344300000,Town of Knox,Town,Albany,12/31,Bond,0,0,479981,0,,479981,30-APR-20
2017,010344300000,Town of Knox,Town,Albany,12/31,Bond Anticipation Note,694559.23,0,,694559.23,,0,30-APR-20
2017,010358100000,Town of New Scotland,Town,Albany,12/31,Bond,3430988,40,,171613,,3259415,30-APR-20
2017,010358100000,Town of New Scotland,Town,Albany,12/31,Bond Anticipation Note,1427600,0,,159000,,1268600,30-APR-20
2017,010370600000,Town of Rensselaerville,Town,Albany,12/31,Bond,739195,0,,53464,,685731,30-APR-20
2017,010389000000,Town of Westerlo,Town,Albany,12/31,Bond,851600,0,130000,82100,,899500,30-APR-20
2017,010418004140,Village of Ravena,Village,Albany,05/31,Bond,1326280,0,,159583.26,,1166696.74,30-APR-20
2017,010418703040,Village of Menands,Village,Albany,05/31,Bond,3870000,0,,145000,,3725000,30-APR-20
2017,010434502040,Village of Green Island,Village,Albany,05/31,Bond,110000,0,,75000,,35000,30-APR-20
2017,010434502040,Village of Green Island,Village,Albany,05/31,Bond Anticipation Note,865000,0,,65000,,800000,30-APR-20
2017,010435500120,Village of Altamont,Village,Albany,05/31,Bond,4180000,0,,165000,,4015000,30-APR-20
2017,010458105090,Village of Voorheesville,Village,Albany,05/31,Bond,2765000,0,,175000,,2590000,30-APR-20
2017,010501000000,Albany City School District,School District,Albany,06/30,Bond,123865000,,,9030000,,114835000,30-APR-20
2017,010501000000,Albany City School District,School District,Albany,06/30,Bond Anticipation Note,,,31853840,8000000,,23853840,30-APR-20
2017,010501000000,Albany City School District,School District,Albany,06/30,Other Debt,1972244,,,350026,,1622218,30-APR-20
2017,010509000000,Cohoes City School District,School District,Albany,06/30,Bond,26645000,,,3320000,,23325000,30-APR-20
2017,010509000000,Cohoes City School District,School District,Albany,06/30,Other Debt,2,,,,,2,30-APR-20
2017,010560000000,Watervliet City School District,School District,Albany,06/30,Bond,36945000,,,2510000,,34435000,30-APR-20
2017,010607100600,Bethlehem Central School District,School District,Albany,06/30,Bond,67149224,,,9189224,,57960000,30-APR-20
2017,010607100600,Bethlehem Central School District,School District,Albany,06/30,Bond Anticipation Note,2400000,,3123000,2400000,,3123000,30-APR-20
2017,010607100600,Bethlehem Central School District,School District,Albany,06/30,Other Debt,4241984,,,,,4241984,30-APR-20
2017,010618000200,Ravena-Coeymans-Selkirk Central School District,School District,Albany,06/30,Bond,6650000,,11000000,2495000,,15155000,30-APR-20
2017,010618000200,Ravena-Coeymans-Selkirk Central School District,School District,Albany,06/30,Bond Anticipation Note,1448005,,870568,364989,,1953584,30-APR-20
2017,010618000200,Ravena-Coeymans-Selkirk Central School District,School District,Albany,06/30,Installment Purchase Contract,70360,,,27524,,42836,30-APR-20
2017,010618700100,South Colonie Central School District,School District,Albany,06/30,Bond,17935000,,,3735000,,14200000,30-APR-20
2017,010618700100,South Colonie Central School District,School District,Albany,06/30,Bond Anticipation Note,5102598,,12733037,5102598,,12733037,30-APR-20
2017,010618700700,North Colonie Central School District,School District,Albany,06/30,Bond,18340000,,,3465000,,14875000,30-APR-20
2017,010618700700,North Colonie Central School District,School District,Albany,06/30,Installment Purchase Contract,569995,,,283342,,286653,30-APR-20
2017,010634500100,Green Island Union Free School District,School District,Albany,06/30,Bond,10575000,,,5490000,,5085000,30-APR-20
2017,010635500200,Guilderland Central School District,School District,Albany,06/30,Bond,25890000,,16778000,3855000,,38813000,30-APR-20
2017,010635500200,Guilderland Central School District,School District,Albany,06/30,Bond Anticipation Note,16604740,,6140650,19477030,,3268360,30-APR-20
2017,010658100300,Voorheesville Central School District,School District,Albany,06/30,Bond,8163274,,101152,1468289,,6796137,30-APR-20
2017,010706800100,Berne-Knox-Westerlo Central School District,School District,Albany,06/30,Bond,11595682,,208932,1412167,,10392447,30-APR-20
2017,010918701500,Menands Union Free School District,School District,Albany,06/30,Bond,1120000,,,370000,,750000,30-APR-20
2017,011106802000,Berne Fire District,Fire District,Albany,12/31,Installment Purchase Contract,52848.87,0,,52848.87,,0,30-APR-20
2017,011106802000,Berne Fire District,Fire District,Albany,12/31,State or Authority Loan,12527,0,,12527,,0,30-APR-20
2017,011107102000,Delmar Fire District,Fire District,Albany,12/31,Bond,320000,0,,80000,,240000,30-APR-20
2017,011107103000,Elsmere Fire District,Fire District,Albany,12/31,Bond,315000,0,,155000,,160000,30-APR-20
2017,011107107600,Slingerlands Fire District,Fire District,Albany,12/31,Bond,1495000,0,,105000,,1390000,30-APR-20
2017,011107107600,Slingerlands Fire District,Fire District,Albany,12/31,Bond Anticipation Note,275000,0,,61617.51,,213382.49,30-APR-20
2017,011118002500,Coeymans Fire District,Fire District,Albany,12/31,Bond,1185000,0,,110000,,1075000,30-APR-20
2017,011118002500,Coeymans Fire District,Fire District,Albany,12/31,State or Authority Loan,146613.09,0,,47669.33,,98943.76,30-APR-20
2017,011118004500,Coeymans Hollow Fire District,Fire District,Albany,12/31,Bond,2309825,-44825,,45000,,2220000,30-APR-20
