CALENDAR_YEAR,MUNICIPAL_CODE,ENTITY_NAME,SUB_GOVT_TYPE,COUNTY,FISCAL_YEAR_END,DEBT_TYPE_DESC,BEGINNING_YEAR_BALANCE_SUM,PRIOR_YEAR_ADJUSTMENT_SUM,DEBT_ISSUED_IN_CURRENT_YEAR,DEBT_PAID_CURRENT_YEAR,ACCRETED_INTEREST_SUM,ENDING_YEAR_BALANCE_SUM,SNAPSHOT_DATE
2015,010100000000,County of Albany,County,Albany,12/31,Bond,217985224,-1200224,6404853,21675000,,201514853,30-APR-20
2015,010100000000,County of Albany,County,Albany,12/31,Bond Anticipation Note,35038384.49,0,29244312.82,7320726.31,,56961971,30-APR-20
2015,010100000000,County of Albany,County,Albany,12/31,Tax Anticipation Note,9800000,0,,9800000,,0,30-APR-20
2015,010201000000,City of Albany,City,Albany,12/31,Bond,87505000,0,9215000,24455000,,72265000,30-APR-20
2015,010201000000,City of Albany,City,Albany,12/31,Bond Anticipation Note,29138785,0,17258514,2972000,,43425299,30-APR-20
2015,010201000000,City of Albany,City,Albany,12/31,Installment Purchase Contract,368009,0,,368009,,0,30-APR-20
2015,010201000000,City of Albany,City,Albany,12/31,Revenue Anticipation Note,0,0,6000000,,,6000000,30-APR-20
2015,010209000000,City of Cohoes,City,Albany,12/31,Bond,11370812,-1302,1725000,1223159,,11871351,30-APR-20
2015,010209000000,City of Cohoes,City,Albany,12/31,Bond Anticipation Note,1000000,0,,0,,1000000,30-APR-20
2015,010260000000,City of Watervliet,City,Albany,12/31,Bond,6594000,0,,655000,,5939000,30-APR-20
2015,010260000000,City of Watervliet,City,Albany,12/31,Bond Anticipation Note,1180000,0,1680862,165000,,2695862,30-APR-20
2015,010306800000,Town of Berne,Town,Albany,12/31,Bond,1128556,0,,31453,,1097103,30-APR-20
2015,010306800000,Town of Berne,Town,Albany,12/31,Bond Anticipation Note,272935,0,,272935,,0,30-APR-20
2015,010307100000,Town of Bethlehem,Town,Albany,12/31,Bond,14005000,0,5912058,1040000,,18877058,30-APR-20
2015,010307100000,Town of Bethlehem,Town,Albany,12/31,Bond Anticipation Note,6393196,0,2303175,6393196,,2303175,30-APR-20
2015,010318000000,Town of Coeymans,Town,Albany,12/31,Bond,378893.92,0,520475,19112.6,,880256.32,30-APR-20
2015,010318000000,Town of Coeymans,Town,Albany,12/31,Bond Anticipation Note,1458475,0,,584975,,873500,30-APR-20
2015,010318000000,Town of Coeymans,Town,Albany,12/31,Tax Anticipation Note,310000,0,,310000,,0,30-APR-20
2015,010318700000,Town of Colonie,Town,Albany,12/31,Bond,81636280,0,,7091080,,74545200,30-APR-20
2015,010318700000,Town of Colonie,Town,Albany,12/31,Bond Anticipation Note,11141000,0,10410000,855000,,20696000,30-APR-20
2015,010318700000,Town of Colonie,Town,Albany,12/31,Installment Purchase Contract,551119,0,78293,273534,,355878,30-APR-20
2015,010318700000,Town of Colonie,Town,Albany,12/31,Revenue Anticipation Note,3200000,0,3200000,3200000,,3200000,30-APR-20
2015,010335500000,Town of Guilderland,Town,Albany,12/31,Bond,19608000,0,,2068000,,17540000,30-APR-20
2015,010335500000,Town of Guilderland,Town,Albany,12/31,Installment Purchase Contract,0,346725.54,61729.98,175489.98,,232965.54,30-APR-20
2015,010344300000,Town of Knox,Town,Albany,12/31,Bond Anticipation Note,639981,0,,80000,,559981,30-APR-20
2015,010358100000,Town of New Scotland,Town,Albany,12/31,Bond,744622,-96,,76721,,667805,30-APR-20
2015,010358100000,Town of New Scotland,Town,Albany,12/31,Bond Anticipation Note,1937290,0,2424344.54,138942,,4222692.54,30-APR-20
2015,010370600000,Town of Rensselaerville,Town,Albany,12/31,Bond,784875,0,50000,42632,,792243,30-APR-20
2015,010389000000,Town of Westerlo,Town,Albany,12/31,Bond,1082500,0,,132800,,949700,30-APR-20
2015,010418004140,Village of Ravena,Village,Albany,05/31,Bond,825140,0,,71930,,753210,30-APR-20
2015,010418703040,Village of Menands,Village,Albany,05/31,Bond,2775000,0,,100000,,2675000,30-APR-20
2015,010434502040,Village of Green Island,Village,Albany,05/31,Bond,250000,0,,70000,,180000,30-APR-20
2015,010434502040,Village of Green Island,Village,Albany,05/31,Bond Anticipation Note,930000,0,,,,930000,30-APR-20
2015,010435500120,Village of Altamont,Village,Albany,05/31,Bond,4505000,0,,160000,,4345000,30-APR-20
2015,010458105090,Village of Voorheesville,Village,Albany,05/31,Bond,3100000,0,,165000,,2935000,30-APR-20
2015,010501000000,Albany City School District,School District,Albany,06/30,Bond,142975000,,19030000,26890000,,135115000,30-APR-20
2015,010501000000,Albany City School District,School District,Albany,06/30,Other Debt,2677244,,,350447,,2326797,30-APR-20
2015,010509000000,Cohoes City School District,School District,Albany,06/30,Bond,33390000,,,3475000,,29915000,30-APR-20
2015,010509000000,Cohoes City School District,School District,Albany,06/30,Other Debt,2,,,,,2,30-APR-20
2015,010560000000,Watervliet City School District,School District,Albany,06/30,Bond,28145000,,13475000,2170000,,39450000,30-APR-20
2015,010560000000,Watervliet City School District,School District,Albany,06/30,Bond Anticipation Note,13950000,,,13950000,,,30-APR-20
2015,010560000000,Watervliet City School District,School District,Albany,06/30,Tax Anticipation Note,3500000,,3500000,3500000,,3500000,30-APR-20
2015,010607100600,Bethlehem Central School District,School District,Albany,06/30,Bond,64505000,,16070000,23960000,,56615000,30-APR-20
2015,010607100600,Bethlehem Central School District,School District,Albany,06/30,Bond Anticipation Note,18890000,,3451134,774000,,21567134,30-APR-20
2015,010607100600,Bethlehem Central School District,School District,Albany,06/30,Other Debt,528802,,,528802,,,30-APR-20
2015,010607100600,Bethlehem Central School District,School District,Albany,06/30,Tax Anticipation Note,,,2500000,2500000,,,30-APR-20
2015,010618000200,Ravena-Coeymans-Selkirk Central School District,School District,Albany,06/30,Bond,11960000,,,2610000,,9350000,30-APR-20
