CALENDAR_YEAR,MUNICIPAL_CODE,ENTITY_NAME,SUB_GOVT_TYPE,COUNTY,FISCAL_YEAR_END,DEBT_TYPE_DESC,BEGINNING_YEAR_BALANCE_SUM,PRIOR_YEAR_ADJUSTMENT_SUM,DEBT_ISSUED_IN_CURRENT_YEAR,DEBT_PAID_CURRENT_YEAR,ACCRETED_INTEREST_SUM,ENDING_YEAR_BALANCE_SUM,SNAPSHOT_DATE
2005,010100000000,County of Albany,County,Albany,12/31,Bond,199266627,0,628905,11766234,,188129298,30-APR-20
2005,010100000000,County of Albany,County,Albany,12/31,Bond Anticipation Note,700963.07,0,3207421.17,406235.83,,3502148.41,30-APR-20
2005,010201000000,City of Albany,City,Albany,12/31,Bond,107750385,0,,9452990,,98297395,30-APR-20
2005,010201000000,City of Albany,City,Albany,12/31,Bond Anticipation Note,5710000,0,9000000,5710000,,9000000,30-APR-20
2005,010201000000,City of Albany,City,Albany,12/31,Installment Purchase Contract,0,,4100000,,,4100000,30-APR-20
2005,010201000000,City of Albany,City,Albany,12/31,Revenue Anticipation Note,10000000,0,10000000,10000000,,10000000,30-APR-20
2005,010209000000,City of Cohoes,City,Albany,12/31,Bond,12607943,120897,3606481,1173561,,15161760,30-APR-20
2005,010209000000,City of Cohoes,City,Albany,12/31,Installment Purchase Contract,621123,0,,73354,,547769,30-APR-20
2005,010260000000,City of Watervliet,City,Albany,12/31,Bond,6546661,72339,,685000,,5934000,30-APR-20
2005,010260000000,City of Watervliet,City,Albany,12/31,Bond Anticipation Note,465000,0,326000,0,,791000,30-APR-20
2005,010260000000,City of Watervliet,City,Albany,12/31,Revenue Anticipation Note,1455000,0,3423450,3560000,,1318450,30-APR-20
2005,010306800000,Town of Berne,Town,Albany,12/31,Bond Anticipation Note,162000,0,230000,36000,,356000,30-APR-20
2005,010307100000,Town of Bethlehem,Town,Albany,12/31,Bond,14835000,0,,1410000,,13425000,30-APR-20
2005,010307100000,Town of Bethlehem,Town,Albany,12/31,Bond Anticipation Note,2620000,0,480000,102000,,2998000,30-APR-20
2005,010307100000,Town of Bethlehem,Town,Albany,12/31,Installment Purchase Contract,639695,0,68909,194951,,513653,30-APR-20
2005,010318000000,Town of Coeymans,Town,Albany,12/31,Bond,152000,0,,134000,,18000,30-APR-20
2005,010318000000,Town of Coeymans,Town,Albany,12/31,Bond Anticipation Note,440000,0,500000,139000,,801000,30-APR-20
2005,010318700000,Town of Colonie,Town,Albany,12/31,Bond,71102669,0,,5843200,,65259469,30-APR-20
2005,010318700000,Town of Colonie,Town,Albany,12/31,Bond Anticipation Note,7198500,0,3913300,958100,,10153700,30-APR-20
2005,010335500000,Town of Guilderland,Town,Albany,12/31,Bond,26072421,0,13800000,3649421,,36223000,30-APR-20
2005,010335500000,Town of Guilderland,Town,Albany,12/31,Bond Anticipation Note,11529700,0,255000,11529700,,255000,30-APR-20
2005,010344300000,Town of Knox,Town,Albany,12/31,Bond Anticipation Note,0,,112362,,,112362,30-APR-20
2005,010358100000,Town of New Scotland,Town,Albany,12/31,Bond,1393463,0,,73500,,1319963,30-APR-20
2005,010358100000,Town of New Scotland,Town,Albany,12/31,Bond Anticipation Note,16922,0,,3384.4,,13537.6,30-APR-20
2005,010358100000,Town of New Scotland,Town,Albany,12/31,State or Authority Loan,75725,0,,4016,,71709,30-APR-20
2005,010370600000,Town of Rensselaerville,Town,Albany,12/31,Bond,48000,,955086,55000,,948086,30-APR-20
2005,010370600000,Town of Rensselaerville,Town,Albany,12/31,Bond Anticipation Note,1217298,,0,1174387,,42911,30-APR-20
2005,010389000000,Town of Westerlo,Town,Albany,12/31,Bond,65600,,72800,16400,,122000,30-APR-20
