CALENDAR_YEAR,MUNICIPAL_CODE,ENTITY_NAME,SUB_GOVT_TYPE,COUNTY,FISCAL_YEAR_END,DEBT_TYPE_DESC,BEGINNING_YEAR_BALANCE_SUM,PRIOR_YEAR_ADJUSTMENT_SUM,DEBT_ISSUED_IN_CURRENT_YEAR,DEBT_PAID_CURRENT_YEAR,ACCRETED_INTEREST_SUM,ENDING_YEAR_BALANCE_SUM,SNAPSHOT_DATE
2008,010100000000,County of Albany,County,Albany,12/31,Bond,218164463,0,,15795996,,202368467,30-APR-20
2008,010100000000,County of Albany,County,Albany,12/31,Bond Anticipation Note,0,0,32133500,,,32133500,30-APR-20
2008,010201000000,City of Albany,City,Albany,12/31,Bond,94047849,0,,9042343,,85005506,30-APR-20
2008,010201000000,City of Albany,City,Albany,12/31,Bond Anticipation Note,11375000,0,18054600,904000,,28525600,30-APR-20
2008,010201000000,City of Albany,City,Albany,12/31,Installment Purchase Contract,6095954,0,,1243304,,4852650,30-APR-20
2008,010201000000,City of Albany,City,Albany,12/31,Revenue Anticipation Note,10000000,0,,10000000,,0,30-APR-20
2008,010209000000,City of Cohoes,City,Albany,12/31,Bond,12627450,-383450,1150000,945000,,12449000,30-APR-20
2008,010209000000,City of Cohoes,City,Albany,12/31,Bond Anticipation Note,0,383450,,383450,,0,30-APR-20
2008,010209000000,City of Cohoes,City,Albany,12/31,Installment Purchase Contract,425331.04,0,,73015.58,,352315.46,30-APR-20
2008,010260000000,City of Watervliet,City,Albany,12/31,Bond,7338313,0,,764313,,6574000,30-APR-20
2008,010260000000,City of Watervliet,City,Albany,12/31,Bond Anticipation Note,0,0,995000,,,995000,30-APR-20
2008,010260000000,City of Watervliet,City,Albany,12/31,Revenue Anticipation Note,1542376,0,,1542376,,0,30-APR-20
2008,010306800000,Town of Berne,Town,Albany,12/31,Bond Anticipation Note,76343,0,252985,50448.29,,278879.71,30-APR-20
2008,010307100000,Town of Bethlehem,Town,Albany,12/31,Bond,11520000,0,1880000,685000,,12715000,30-APR-20
2008,010307100000,Town of Bethlehem,Town,Albany,12/31,Bond Anticipation Note,2722500,0,2000000,139250,,4583250,30-APR-20
2008,010307100000,Town of Bethlehem,Town,Albany,12/31,Installment Purchase Contract,189611,0,,103464,,86147,30-APR-20
2008,010318000000,Town of Coeymans,Town,Albany,12/31,Bond Anticipation Note,665000,0,,202000,,463000,30-APR-20
2008,010318700000,Town of Colonie,Town,Albany,12/31,Bond,60235000,0,16685000,4600000,,72320000,30-APR-20
2008,010318700000,Town of Colonie,Town,Albany,12/31,Bond Anticipation Note,35325700,0,5150000,18528900,,21946800,30-APR-20
2008,010318700000,Town of Colonie,Town,Albany,12/31,Revenue Anticipation Note,0,0,5000000,,,5000000,30-APR-20
2008,010335500000,Town of Guilderland,Town,Albany,12/31,Bond,29468000,0,,2114000,,27354000,30-APR-20
2008,010335500000,Town of Guilderland,Town,Albany,12/31,Bond Anticipation Note,0,0,5400000,0,,5400000,30-APR-20
2008,010358100000,Town of New Scotland,Town,Albany,12/31,Bond,1182963,0,,66500,,1116463,30-APR-20
2008,010358100000,Town of New Scotland,Town,Albany,12/31,Bond Anticipation Note,701768.8,0,285000,3384.4,,983384.4,30-APR-20
2008,010358100000,Town of New Scotland,Town,Albany,12/31,Installment Purchase Contract,145040.55,0,,33958.29,,111082.26,30-APR-20
2008,010358100000,Town of New Scotland,Town,Albany,12/31,State or Authority Loan,63485,0,,4303,,59182,30-APR-20
2008,010370600000,Town of Rensselaerville,Town,Albany,12/31,Bond,917196,0,,32969,,884227,30-APR-20
2008,010370600000,Town of Rensselaerville,Town,Albany,12/31,Revenue Anticipation Note,0,9100,9926,9100,,9926,30-APR-20
2008,010389000000,Town of Westerlo,Town,Albany,12/31,Bond,1191996,0,,86496,,1105500,30-APR-20
2008,010389000000,Town of Westerlo,Town,Albany,12/31,Bond Anticipation Note,30000,0,,15000,,15000,30-APR-20
2008,010418004140,Village of Ravena,Village,Albany,05/31,Bond,1315000,0,,150000,,1165000,30-APR-20
2008,010418701100,Village of Colonie,Village,Albany,05/31,Bond,235000,0,,235000,,0,30-APR-20
2008,010434502040,Village of Green Island,Village,Albany,05/31,Bond,1100000,0,300000,185000,,1215000,30-APR-20
2008,010434502040,Village of Green Island,Village,Albany,05/31,Revenue Anticipation Note,0,0,270000,0,,270000,30-APR-20
2008,010434502040,Village of Green Island,Village,Albany,05/31,State or Authority Loan,360000,0,,80000,,280000,30-APR-20
2008,010435500120,Village of Altamont,Village,Albany,05/31,Bond,1400000,0,,45000,,1355000,30-APR-20
2008,010458105090,Village of Voorheesville,Village,Albany,05/31,Bond,4206458,0,,141458,,4065000,30-APR-20
2008,010458105090,Village of Voorheesville,Village,Albany,05/31,Installment Purchase Contract,39253,0,,19122,,20131,30-APR-20
