CALENDAR_YEAR,MUNICIPAL_CODE,ENTITY_NAME,SUB_GOVT_TYPE,COUNTY,FISCAL_YEAR_END,DEBT_TYPE_DESC,BEGINNING_YEAR_BALANCE_SUM,PRIOR_YEAR_ADJUSTMENT_SUM,DEBT_ISSUED_IN_CURRENT_YEAR,DEBT_PAID_CURRENT_YEAR,ACCRETED_INTEREST_SUM,ENDING_YEAR_BALANCE_SUM,SNAPSHOT_DATE
2004,010100000000,County of Albany,County,Albany,12/31,Bond,110688577,0,103113050,14535000,,199266627,30-APR-20
2004,010100000000,County of Albany,County,Albany,12/31,Bond Anticipation Note,50282759,0,418204,50000000,,700963,30-APR-20
2004,010201000000,City of Albany,City,Albany,12/31,Bond,91190811,0,24962338,8402764,,107750385,30-APR-20
2004,010201000000,City of Albany,City,Albany,12/31,Bond Anticipation Note,6224000,0,,514000,,5710000,30-APR-20
2004,010201000000,City of Albany,City,Albany,12/31,Revenue Anticipation Note,10000000,0,10000000,10000000,,10000000,30-APR-20
2004,010209000000,City of Cohoes,City,Albany,12/31,Bond,13060646,154182,503389,1110274,,12607943,30-APR-20
2004,010209000000,City of Cohoes,City,Albany,12/31,Bond Anticipation Note,1000000,0,,1000000,,0,30-APR-20
2004,010209000000,City of Cohoes,City,Albany,12/31,Installment Purchase Contract,276663,0,448488,104028,,621123,30-APR-20
2004,010260000000,City of Watervliet,City,Albany,12/31,Bond,7331661,0,,785000,,6546661,30-APR-20
2004,010260000000,City of Watervliet,City,Albany,12/31,Bond Anticipation Note,3175000,0,465000,3175000,,465000,30-APR-20
2004,010260000000,City of Watervliet,City,Albany,12/31,Revenue Anticipation Note,1405000,0,2925000,2875000,,1455000,30-APR-20
2004,010306800000,Town of Berne,Town,Albany,12/31,Bond Anticipation Note,199000,,,37000,,162000,30-APR-20
2004,010307100000,Town of Bethlehem,Town,Albany,12/31,Bond,15190500,0,12105000,12460500,,14835000,30-APR-20
2004,010307100000,Town of Bethlehem,Town,Albany,12/31,Bond Anticipation Note,411400,0,2250000,41400,,2620000,30-APR-20
2004,010307100000,Town of Bethlehem,Town,Albany,12/31,Installment Purchase Contract,825200,0,,185505,,639695,30-APR-20
2004,010318000000,Town of Coeymans,Town,Albany,12/31,Bond,286000,,,134000,,152000,30-APR-20
