CALENDAR_YEAR,MUNICIPAL_CODE,ENTITY_NAME,SUB_GOVT_TYPE,COUNTY,FISCAL_YEAR_END,DEBT_TYPE_DESC,BEGINNING_YEAR_BALANCE_SUM,PRIOR_YEAR_ADJUSTMENT_SUM,DEBT_ISSUED_IN_CURRENT_YEAR,DEBT_PAID_CURRENT_YEAR,ACCRETED_INTEREST_SUM,ENDING_YEAR_BALANCE_SUM,SNAPSHOT_DATE
2012,010100000000,County of Albany,County,Albany,12/31,Bond,217659058,0,84580000,85588630,,216650428,30-APR-20
2012,010100000000,County of Albany,County,Albany,12/31,Bond Anticipation Note,27886369,0,30333320,21911369,,36308320,30-APR-20
2012,010100000000,County of Albany,County,Albany,12/31,Tax Anticipation Note,15100000,0,13500000,15100000,,13500000,30-APR-20
2012,010201000000,City of Albany,City,Albany,12/31,Bond,85296550,0,53293598,26347026,,112243122,30-APR-20
2012,010201000000,City of Albany,City,Albany,12/31,Bond Anticipation Note,46471326,0,16925000,42876326,,20520000,30-APR-20
2012,010201000000,City of Albany,City,Albany,12/31,Installment Purchase Contract,1791262,9016,,457856,,1333405,30-APR-20
2012,010209000000,City of Cohoes,City,Albany,12/31,Bond,11744554,-9749,625000,1943510,,10416295,30-APR-20
2012,010209000000,City of Cohoes,City,Albany,12/31,Bond Anticipation Note,61000,0,1496050,1500,,1555550,30-APR-20
2012,010209000000,City of Cohoes,City,Albany,12/31,Installment Purchase Contract,139120.68,0,,77659.2,,61461.48,30-APR-20
2012,010260000000,City of Watervliet,City,Albany,12/31,Bond,8529000,150000,,725000,,7954000,30-APR-20
2012,010260000000,City of Watervliet,City,Albany,12/31,Bond Anticipation Note,660000,0,,0,,660000,30-APR-20
2012,010306800000,Town of Berne,Town,Albany,12/31,Bond Anticipation Note,706924.43,9351.31,,311015.36,,405260.38,30-APR-20
2012,010307100000,Town of Bethlehem,Town,Albany,12/31,Bond,17640000,0,6715000,8315000,,16040000,30-APR-20
2012,010307100000,Town of Bethlehem,Town,Albany,12/31,Bond Anticipation Note,2900000,0,896000,320500,,3475500,30-APR-20
2012,010318000000,Town of Coeymans,Town,Albany,12/31,Bond,302756,0,173525,25815.07,,450465.93,30-APR-20
