CALENDAR_YEAR,MUNICIPAL_CODE,ENTITY_NAME,SUB_GOVT_TYPE,COUNTY,FISCAL_YEAR_END,DEBT_TYPE_DESC,BEGINNING_YEAR_BALANCE_SUM,PRIOR_YEAR_ADJUSTMENT_SUM,DEBT_ISSUED_IN_CURRENT_YEAR,DEBT_PAID_CURRENT_YEAR,ACCRETED_INTEREST_SUM,ENDING_YEAR_BALANCE_SUM,SNAPSHOT_DATE
2011,010100000000,County of Albany,County,Albany,12/31,Bond,212367093,0,23031965,17740000,,217659058,30-APR-20
2011,010100000000,County of Albany,County,Albany,12/31,Bond Anticipation Note,47410634,0,1400000,20924265,,27886369,30-APR-20
2011,010100000000,County of Albany,County,Albany,12/31,Tax Anticipation Note,15028304,0,15100000,15028304,,15100000,30-APR-20
2011,010201000000,City of Albany,City,Albany,12/31,Bond,85460000.63,-.63,22396550,22560000,,85296550,30-APR-20
2011,010201000000,City of Albany,City,Albany,12/31,Bond Anticipation Note,63890049,0,6916000,24334723,,46471326,30-APR-20
2011,010201000000,City of Albany,City,Albany,12/31,Installment Purchase Contract,2848900,-577145,,480493,,1791262,30-APR-20
2011,010209000000,City of Cohoes,City,Albany,12/31,Bond,10447000,0,5630000,4332446,,11744554,30-APR-20
2011,010209000000,City of Cohoes,City,Albany,12/31,Bond Anticipation Note,0,0,61000,,,61000,30-APR-20
2011,010209000000,City of Cohoes,City,Albany,12/31,Installment Purchase Contract,213382.53,0,,74261.85,,139120.68,30-APR-20
2011,010260000000,City of Watervliet,City,Albany,12/31,Bond,5374000,0,3740000,585000,,8529000,30-APR-20
2011,010260000000,City of Watervliet,City,Albany,12/31,Bond Anticipation Note,1825463,0,660000,1825463,,660000,30-APR-20
2011,010306800000,Town of Berne,Town,Albany,12/31,Bond Anticipation Note,591036.1,0,197600,81711.67,,706924.43,30-APR-20
2011,010307100000,Town of Bethlehem,Town,Albany,12/31,Bond,18745000,0,,1105000,,17640000,30-APR-20
2011,010307100000,Town of Bethlehem,Town,Albany,12/31,Bond Anticipation Note,1505000,0,1610000,215000,,2900000,30-APR-20
2011,010318000000,Town of Coeymans,Town,Albany,12/31,Bond,0,0,302756,0,,302756,30-APR-20
2011,010318000000,Town of Coeymans,Town,Albany,12/31,Bond Anticipation Note,0,0,375000,,,375000,30-APR-20
2011,010318000000,Town of Coeymans,Town,Albany,12/31,Installment Purchase Contract,3978.45,0,,1768,,2210.45,30-APR-20
2011,010318700000,Town of Colonie,Town,Albany,12/31,Bond,74910000,0,,6344900,,68565100,30-APR-20
2011,010318700000,Town of Colonie,Town,Albany,12/31,Bond Anticipation Note,24685000,0,15760800,935000,,39510800,30-APR-20
2011,010318700000,Town of Colonie,Town,Albany,12/31,Installment Purchase Contract,860386,0,187584,672231,,375739,30-APR-20
2011,010318700000,Town of Colonie,Town,Albany,12/31,Revenue Anticipation Note,4500000,0,4500000,4500000,,4500000,30-APR-20
2011,010335500000,Town of Guilderland,Town,Albany,12/31,Bond,23517000,0,,1918000,,21599000,30-APR-20
2011,010335500000,Town of Guilderland,Town,Albany,12/31,Bond Anticipation Note,4400000,0,,140300,,4259700,30-APR-20
2011,010344300000,Town of Knox,Town,Albany,12/31,Bond Anticipation Note,1139981,0,,160000,,979981,30-APR-20
2011,010358100000,Town of New Scotland,Town,Albany,12/31,Bond,973463,0,,64500,,908963,30-APR-20
2011,010358100000,Town of New Scotland,Town,Albany,12/31,Bond Anticipation Note,1063400,0,180000,48800,,1194600,30-APR-20
2011,010358100000,Town of New Scotland,Town,Albany,12/31,Installment Purchase Contract,38761.75,-273.71,,38488.04,,0,30-APR-20
2011,010358100000,Town of New Scotland,Town,Albany,12/31,State or Authority Loan,50289,0,,4589,,45700,30-APR-20
2011,010370600000,Town of Rensselaerville,Town,Albany,12/31,Bond,810241,0,,29218,,781023,30-APR-20
2011,010389000000,Town of Westerlo,Town,Albany,12/31,Bond,1035000,0,,75000,,960000,30-APR-20
2011,010389000000,Town of Westerlo,Town,Albany,12/31,Bond Anticipation Note,145000,0,,100000,,45000,30-APR-20
2011,010389000000,Town of Westerlo,Town,Albany,12/31,Revenue Anticipation Note,0,0,300000,125000,,175000,30-APR-20
2011,010418004140,Village of Ravena,Village,Albany,05/31,Bond,865000,0,,150000,,715000,30-APR-20
2011,010418703040,Village of Menands,Village,Albany,05/31,Bond Anticipation Note,325000,0,,325000,,0,30-APR-20
2011,010434502040,Village of Green Island,Village,Albany,05/31,Bond,815000,0,,180000,,635000,30-APR-20
2011,010434502040,Village of Green Island,Village,Albany,05/31,Revenue Anticipation Note,70000,0,,70000,,0,30-APR-20
2011,010435500120,Village of Altamont,Village,Albany,05/31,Bond,1260000,0,,50000,,1210000,30-APR-20
2011,010458105090,Village of Voorheesville,Village,Albany,05/31,Bond,3735000,0,,155000,,3580000,30-APR-20
2011,010501000000,Albany City School District,School District,Albany,06/30,Bond,146590808,,21295000,5938178,,161947630,30-APR-20
2011,010501000000,Albany City School District,School District,Albany,06/30,Bond Anticipation Note,28283227,,,28283227,,,30-APR-20
2011,010501000000,Albany City School District,School District,Albany,06/30,Other Debt,3152453,,,300202,,2852251,30-APR-20
