CALENDAR_YEAR,MUNICIPAL_CODE,ENTITY_NAME,SUB_GOVT_TYPE,COUNTY,FISCAL_YEAR_END,DEBT_TYPE_DESC,BEGINNING_YEAR_BALANCE_SUM,PRIOR_YEAR_ADJUSTMENT_SUM,DEBT_ISSUED_IN_CURRENT_YEAR,DEBT_PAID_CURRENT_YEAR,ACCRETED_INTEREST_SUM,ENDING_YEAR_BALANCE_SUM,SNAPSHOT_DATE
2001,010100000000,County of Albany,County,Albany,12/31,Bond,108016675,0,31996560,12669999,,127343236,30-APR-20
2001,010100000000,County of Albany,County,Albany,12/31,Bond Anticipation Note,,,86769.65,,,86769.65,30-APR-20
2001,010201000000,City of Albany,City,Albany,12/31,Bond,72980747,-2022034,20773000,11869231,,79862482,30-APR-20
2001,010201000000,City of Albany,City,Albany,12/31,Bond Anticipation Note,16510240,0,,4388420,,12121820,30-APR-20
2001,010201000000,City of Albany,City,Albany,12/31,State or Authority Loan,765000,-255000,,0,,510000,30-APR-20
2001,010209000000,City of Cohoes,City,Albany,12/31,Bond,11183572,0,928654,1055000,,11057226,30-APR-20
2001,010209000000,City of Cohoes,City,Albany,12/31,Bond Anticipation Note,,,3128345,,,3128345,30-APR-20
2001,010209000000,City of Cohoes,City,Albany,12/31,Installment Purchase Contract,227958,-1802,,83944,,142212,30-APR-20
2001,010260000000,City of Watervliet,City,Albany,12/31,Bond,6868000,-72339,0,899000,,5896661,30-APR-20
2001,010260000000,City of Watervliet,City,Albany,12/31,Bond Anticipation Note,0,,1044170,0,,1044170,30-APR-20
2001,010306800000,Town of Berne,Town,Albany,12/31,Bond Anticipation Note,55000,,0,55000,,0,30-APR-20
2001,010307100000,Town of Bethlehem,Town,Albany,12/31,Bond,18497000,0,,1095503,,17401497,30-APR-20
2001,010307100000,Town of Bethlehem,Town,Albany,12/31,Bond Anticipation Note,833000,0,,146000,,687000,30-APR-20
2001,010307100000,Town of Bethlehem,Town,Albany,12/31,Tax Anticipation Note,375000,0,1000000,375000,,1000000,30-APR-20
2001,010318000000,Town of Coeymans,Town,Albany,12/31,Bond,688000,,0,134000,,554000,30-APR-20
2001,010318000000,Town of Coeymans,Town,Albany,12/31,Bond Anticipation Note,486095,,239131,62215,,595959,30-APR-20
2001,010318000000,Town of Coeymans,Town,Albany,12/31,Budget Note,0,,122498,0,,122498,30-APR-20
2001,010318000000,Town of Coeymans,Town,Albany,12/31,Revenue Anticipation Note,379778,,584784,596778,,367784,30-APR-20
2001,010318700000,Town of Colonie,Town,Albany,12/31,Bond,43992863,0,8710000,5291463,,47411400,30-APR-20
2001,010318700000,Town of Colonie,Town,Albany,12/31,Bond Anticipation Note,5805500,0,2913000,5504500,,3214000,30-APR-20
2001,010335500000,Town of Guilderland,Town,Albany,12/31,Bond,27870000,,3770000,2980000,,28660000,30-APR-20
2001,010335500000,Town of Guilderland,Town,Albany,12/31,Bond Anticipation Note,3767000,,,3767000,,0,30-APR-20
2001,010344300000,Town of Knox,Town,Albany,12/31,Bond Anticipation Note,43365,0,,15000,,28365,30-APR-20
2001,010358100000,Town of New Scotland,Town,Albany,12/31,Bond,915463,,90000,40500,,964963,30-APR-20
2001,010358100000,Town of New Scotland,Town,Albany,12/31,Bond Anticipation Note,802043,,0,188729,,613314,30-APR-20
2001,010358100000,Town of New Scotland,Town,Albany,12/31,State or Authority Loan,90834,,0,3634,,87200,30-APR-20
2001,010370600000,Town of Rensselaerville,Town,Albany,12/31,Bond,60000,0,,3000,,57000,30-APR-20
2001,010370600000,Town of Rensselaerville,Town,Albany,12/31,Bond Anticipation Note,318025,0,915000,35833,,1197192,30-APR-20
2001,010370600000,Town of Rensselaerville,Town,Albany,12/31,Tax Anticipation Note,6165,0,,47,,6118,30-APR-20
2001,010389000000,Town of Westerlo,Town,Albany,12/31,Bond Anticipation Note,113000,,46000,73000,,86000,30-APR-20
2001,010418004140,Village of Ravena,Village,Albany,05/31,Bond,1159000,,359840,137000,,1381840,30-APR-20
2001,010418004140,Village of Ravena,Village,Albany,05/31,Bond Anticipation Note,394760,,,394760,,0,30-APR-20
2001,010418701100,Village of Colonie,Village,Albany,05/31,Bond,1895000,,,240000,,1655000,30-APR-20
2001,010418703040,Village of Menands,Village,Albany,05/31,Bond Anticipation Note,570000,0,0,155000,,415000,30-APR-20
2001,010434502040,Village of Green Island,Village,Albany,05/31,Bond,1569999,0,300000,295000,,1574999,30-APR-20
2001,010434502040,Village of Green Island,Village,Albany,05/31,Bond Anticipation Note,0,0,115000,0,,115000,30-APR-20
2001,010435500120,Village of Altamont,Village,Albany,05/31,Bond,882499,,,81169,,801330,30-APR-20
2001,010435500120,Village of Altamont,Village,Albany,05/31,Bond Anticipation Note,212245,,,110415,,101830,30-APR-20
2001,010435500120,Village of Altamont,Village,Albany,05/31,Installment Purchase Contract,,,227923,,,227923,30-APR-20
2001,010435500120,Village of Altamont,Village,Albany,05/31,State or Authority Loan,5900,-2389.12,,3510.88,,0,30-APR-20
2001,010458105090,Village of Voorheesville,Village,Albany,05/31,Bond,160000,,,30000,,130000,30-APR-20
2001,010458105090,Village of Voorheesville,Village,Albany,05/31,Bond Anticipation Note,33000,,,2500,,30500,30-APR-20
2001,010501000000,Albany City School District,School District,Albany,06/30,Bond,39817588,,2000000,7733178,,34084410,30-APR-20
2001,010501000000,Albany City School District,School District,Albany,06/30,Budget Note,2000000,,,2000000,,,30-APR-20
2001,010501000000,Albany City School District,School District,Albany,06/30,Revenue Anticipation Note,5500000,,5000000,5500000,,5000000,30-APR-20
2001,010501000000,Albany City School District,School District,Albany,06/30,Tax Anticipation Note,13000000,,13800000,13000000,,13800000,30-APR-20
2001,010509000000,Cohoes City School District,School District,Albany,06/30,Bond,11500000,,7353097,2903097,,15950000,30-APR-20
2001,010509000000,Cohoes City School District,School District,Albany,06/30,Bond Anticipation Note,7500000,,,7500000,,,30-APR-20
2001,010560000000,Watervliet City School District,School District,Albany,06/30,Bond,4745000,,,1015000,,3730000,30-APR-20
2001,010560000000,Watervliet City School District,School District,Albany,06/30,Other Debt,1395134,,,151700,,1243434,30-APR-20
2001,010607100600,Bethlehem Central School District,School District,Albany,06/30,Bond,23131074,,4173222,1935338,,25368958,30-APR-20
2001,010607100600,Bethlehem Central School District,School District,Albany,06/30,Other Debt,6118362,,,297132,,5821230,30-APR-20
2001,010607100600,Bethlehem Central School District,School District,Albany,06/30,Tax Anticipation Note,,,2800000,2800000,,,30-APR-20
2001,010618000200,Ravena-Coeymans-Selkirk Central School District,School District,Albany,06/30,Bond,5505500,,339000,774900,,5069600,30-APR-20
2001,010618000200,Ravena-Coeymans-Selkirk Central School District,School District,Albany,06/30,Bond Anticipation Note,266800,,,168400,,98400,30-APR-20
2001,010618700100,South Colonie Central School District,School District,Albany,06/30,Bond,25782090,,,1452090,,24330000,30-APR-20
2001,010618700100,South Colonie Central School District,School District,Albany,06/30,Bond Anticipation Note,1416800,,450974,465600,,1402174,30-APR-20
2001,010618700100,South Colonie Central School District,School District,Albany,06/30,Other Debt,1273625,,,389800,,883825,30-APR-20
2001,010618700100,South Colonie Central School District,School District,Albany,06/30,Revenue Anticipation Note,,,4500000,4500000,,,30-APR-20
2001,010618700500,North Colonie School District,School District,Albany,06/30,Bond,25360000,,,1680000,,23680000,30-APR-20
2001,010618700500,North Colonie School District,School District,Albany,06/30,Bond Anticipation Note,325000,,,157000,,168000,30-APR-20
2001,010618700500,North Colonie School District,School District,Albany,06/30,Other Debt,2834394,,,316438,,2517956,30-APR-20
2001,010618700500,North Colonie School District,School District,Albany,06/30,Tax Anticipation Note,,,1500000,,,1500000,30-APR-20
2001,010634500100,Green Island Union Free School District,School District,Albany,06/30,Bond,138000,,169401,13800,,293601,30-APR-20
2001,010635500200,Guilderland Central School District,School District,Albany,06/30,Bond,38285000,,,2410000,,35875000,30-APR-20
2001,010635500200,Guilderland Central School District,School District,Albany,06/30,Bond Anticipation Note,1865000,,846000,657700,,2053300,30-APR-20
2001,010635500200,Guilderland Central School District,School District,Albany,06/30,Other Debt,220222,,,131893,,88329,30-APR-20
2001,010635500200,Guilderland Central School District,School District,Albany,06/30,Tax Anticipation Note,,,4400000,4400000,,,30-APR-20
2001,010658100300,Voorheesville Central School District,School District,Albany,06/30,Bond,4425000,,224000,460000,,4189000,30-APR-20
2001,010658100300,Voorheesville Central School District,School District,Albany,06/30,Other Debt,477870,,,84316,,393554,30-APR-20
2001,010706800100,Berne-Knox-Westerlo Central School District,School District,Albany,06/30,Bond,2706400,,,592400,,2114000,30-APR-20
2001,010706800100,Berne-Knox-Westerlo Central School District,School District,Albany,06/30,Bond Anticipation Note,,,144348,,,144348,30-APR-20
2001,010918701500,Menands Union Free School District,School District,Albany,06/30,Bond,820000,,,120000,,700000,30-APR-20
2001,011106802000,Berne Fire District,Fire District,Albany,12/31,Bond,0,,200000,0,,200000,30-APR-20
2001,011106802000,Berne Fire District,Fire District,Albany,12/31,Bond Anticipation Note,79850,,120150,200000,,0,30-APR-20
2001,011106802000,Berne Fire District,Fire District,Albany,12/31,State or Authority Loan,175921,,0,8437,,167490,30-APR-20
