CALENDAR_YEAR,MUNICIPAL_CODE,ENTITY_NAME,SUB_GOVT_TYPE,COUNTY,FISCAL_YEAR_END,DEBT_TYPE_DESC,BEGINNING_YEAR_BALANCE_SUM,PRIOR_YEAR_ADJUSTMENT_SUM,DEBT_ISSUED_IN_CURRENT_YEAR,DEBT_PAID_CURRENT_YEAR,ACCRETED_INTEREST_SUM,ENDING_YEAR_BALANCE_SUM,SNAPSHOT_DATE
2007,010100000000,County of Albany,County,Albany,12/31,Bond,231989463,0,,13825000,,218164463,30-APR-20
2007,010201000000,City of Albany,City,Albany,12/31,Bond,104407849,0,,10360000,,94047849,30-APR-20
2007,010201000000,City of Albany,City,Albany,12/31,Bond Anticipation Note,2250000,0,11375000,2250000,,11375000,30-APR-20
2007,010201000000,City of Albany,City,Albany,12/31,Installment Purchase Contract,7904707,-535753,,1273000,,6095954,30-APR-20
2007,010201000000,City of Albany,City,Albany,12/31,Revenue Anticipation Note,10000000,0,10000000,10000000,,10000000,30-APR-20
2007,010209000000,City of Cohoes,City,Albany,12/31,Bond,13184037,100000,383450,1040037,,12627450,30-APR-20
2007,010209000000,City of Cohoes,City,Albany,12/31,Installment Purchase Contract,495002.06,0,,69671.02,,425331.04,30-APR-20
2007,010260000000,City of Watervliet,City,Albany,12/31,Bond,8146373,0,,808060,,7338313,30-APR-20
2007,010260000000,City of Watervliet,City,Albany,12/31,Revenue Anticipation Note,1565846,0,2267376,2290846,,1542376,30-APR-20
2007,010306800000,Town of Berne,Town,Albany,12/31,Bond Anticipation Note,180000,0,,103657,,76343,30-APR-20
2007,010307100000,Town of Bethlehem,Town,Albany,12/31,Bond,12485000,0,,965000,,11520000,30-APR-20
2007,010307100000,Town of Bethlehem,Town,Albany,12/31,Bond Anticipation Note,2860750,0,,138250,,2722500,30-APR-20
2007,010307100000,Town of Bethlehem,Town,Albany,12/31,Installment Purchase Contract,294007,0,,104396,,189611,30-APR-20
2007,010318000000,Town of Coeymans,Town,Albany,12/31,Bond,9000,0,,9000,,0,30-APR-20
2007,010318000000,Town of Coeymans,Town,Albany,12/31,Bond Anticipation Note,754000,0,,89000,,665000,30-APR-20
2007,010318700000,Town of Colonie,Town,Albany,12/31,Bond,59894469,0,4890000,4549469,,60235000,30-APR-20
