CALENDAR_YEAR,MUNICIPAL_CODE,ENTITY_NAME,SUB_GOVT_TYPE,COUNTY,FISCAL_YEAR_END,DEBT_TYPE_DESC,BEGINNING_YEAR_BALANCE_SUM,PRIOR_YEAR_ADJUSTMENT_SUM,DEBT_ISSUED_IN_CURRENT_YEAR,DEBT_PAID_CURRENT_YEAR,ACCRETED_INTEREST_SUM,ENDING_YEAR_BALANCE_SUM,SNAPSHOT_DATE
2009,010100000000,County of Albany,County,Albany,12/31,Bond,202368467,0,,16048074,,186320393,30-APR-20
2009,010100000000,County of Albany,County,Albany,12/31,Bond Anticipation Note,32133500,0,28634000,,,60767500,30-APR-20
2009,010201000000,City of Albany,City,Albany,12/31,Bond,85005506,-203969.37,19974950,8999066,,95777420.63,30-APR-20
2009,010201000000,City of Albany,City,Albany,12/31,Bond Anticipation Note,28525600,0,37780000,22323551,,43982049,30-APR-20
2009,010201000000,City of Albany,City,Albany,12/31,Installment Purchase Contract,4852650,-101,,1083983,,3768566,30-APR-20
2009,010201000000,City of Albany,City,Albany,12/31,Revenue Anticipation Note,0,0,12500000,,,12500000,30-APR-20
2009,010209000000,City of Cohoes,City,Albany,12/31,Bond,12449000,10000,,1016000,,11443000,30-APR-20
2009,010209000000,City of Cohoes,City,Albany,12/31,Bond Anticipation Note,0,0,3500000,0,,3500000,30-APR-20
2009,010209000000,City of Cohoes,City,Albany,12/31,Installment Purchase Contract,352315.46,0,,67916.13,,284399.33,30-APR-20
2009,010260000000,City of Watervliet,City,Albany,12/31,Bond,6574000,0,,635000,,5939000,30-APR-20
2009,010260000000,City of Watervliet,City,Albany,12/31,Bond Anticipation Note,995000,0,1179963,280000,,1894963,30-APR-20
2009,010306800000,Town of Berne,Town,Albany,12/31,Bond Anticipation Note,278879.71,266493.96,307285.02,350841.28,,501817.41,30-APR-20
2009,010307100000,Town of Bethlehem,Town,Albany,12/31,Bond,12715000,0,7958000,865000,,19808000,30-APR-20
2009,010307100000,Town of Bethlehem,Town,Albany,12/31,Bond Anticipation Note,4583250,0,,4440250,,143000,30-APR-20
2009,010307100000,Town of Bethlehem,Town,Albany,12/31,Installment Purchase Contract,86147,0,,86147,,0,30-APR-20
2009,010318000000,Town of Coeymans,Town,Albany,12/31,Bond Anticipation Note,463000,0,,463000,,0,30-APR-20
2009,010318000000,Town of Coeymans,Town,Albany,12/31,Installment Purchase Contract,0,0,7072.8,1326.15,,5746.65,30-APR-20
2009,010318700000,Town of Colonie,Town,Albany,12/31,Bond,72320000,0,14235800,4970000,,81585800,30-APR-20
